date,code,name,weight,strategy_weight,position_scale
2022-01-14,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-17,512890.SH,红利低波,0.25,0.5,0.5
2022-01-17,162411.SZ,华宝油气,0.25,0.5,0.5
2022-01-18,162411.SZ,华宝油气,0.25,0.5,0.5
2022-01-18,512890.SH,红利低波,0.25,0.5,0.5
2022-01-19,162411.SZ,华宝油气,0.25,0.5,0.5
2022-01-19,512890.SH,红利低波,0.25,0.5,0.5
2022-01-20,162411.SZ,华宝油气,0.25,0.5,0.5
2022-01-20,512890.SH,红利低波,0.25,0.5,0.5
2022-01-21,162411.SZ,华宝油气,0.25,0.5,0.5
2022-01-21,512890.SH,红利低波,0.25,0.5,0.5
